text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"It was an honor to welcome the Prime Minister of Vietnam, Nguy<U+1EC5>n Xuân Phúc to the @WhiteHouse this afternoon. https://t.co/6YbrIvJUCY",FALSE,43486,NA,5/31/2017 21:52,FALSE,NA,8.70035E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7435,FALSE,FALSE,NA,NA
"We traveled the world to strengthen long-standing alliances, and to form new partnerships. See more at:… https://t.co/FT4kyPoAl0",FALSE,60091,NA,5/31/2017 20:04,TRUE,NA,8.70008E+17,NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",realDonaldTrump,13142,FALSE,FALSE,NA,NA
I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,FALSE,73535,NA,5/31/2017 13:08,FALSE,NA,8.69903E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14102,FALSE,FALSE,NA,NA
"Hopefully Republican Senators, good people all, can quickly get together and pass a new (repeal &amp; replace) HEALTHCARE bill. Add saved $'s.",FALSE,66032,NA,5/31/2017 13:05,FALSE,NA,8.69903E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,12390,FALSE,FALSE,NA,NA
"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",FALSE,195891,NA,5/31/2017 11:14,FALSE,NA,8.69875E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,54566,FALSE,FALSE,NA,NA
"...case against him &amp; now wants to clear his name by showing ""the false or misleading testimony by James Comey, John Brennan..."" Witch Hunt!",FALSE,59652,NA,5/31/2017 10:45,FALSE,NA,8.69867E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13120,FALSE,FALSE,NA,NA
"So now it is reported that the Democrats, who have excoriated Carter Page about Russia, don't want him to testify. He blows away their....",FALSE,56543,NA,5/31/2017 10:37,FALSE,NA,8.69865E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13955,FALSE,FALSE,NA,NA
"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",FALSE,209262,NA,5/31/2017 10:09,FALSE,NA,8.69858E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,85910,FALSE,FALSE,NA,NA
"The U.S. Senate should switch to 51 votes, immediately, and get Healthcare and TAX CUTS approved, fast and easy. Dems would do it, no doubt!",FALSE,78363,NA,5/30/2017 13:59,FALSE,NA,8.69554E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,19872,FALSE,FALSE,NA,NA
Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,FALSE,87508,NA,5/30/2017 11:04,FALSE,NA,8.6951E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,22020,FALSE,FALSE,NA,NA
"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO &amp; military. Very bad for U.S. This will change",FALSE,89997,NA,5/30/2017 10:40,FALSE,NA,8.69504E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,22680,FALSE,FALSE,NA,NA
I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,FALSE,92966,NA,5/29/2017 12:36,FALSE,NA,8.69171E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15210,FALSE,FALSE,NA,NA
"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!",FALSE,152037,NA,5/29/2017 12:35,FALSE,NA,8.6917E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,36928,FALSE,FALSE,NA,NA
"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",FALSE,65762,NA,5/29/2017 12:18,FALSE,NA,8.69166E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,12605,FALSE,FALSE,NA,NA
"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,106652,NA,5/29/2017 12:11,FALSE,NA,8.69164E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,26961,FALSE,FALSE,NA,NA
The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!,FALSE,116658,NA,5/29/2017 0:20,FALSE,NA,8.68985E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,29931,FALSE,FALSE,NA,NA
"The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well, actually ahead of schedule. Big benefits to all!",FALSE,75960,NA,5/29/2017 0:07,FALSE,NA,8.68982E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15866,FALSE,FALSE,NA,NA
I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,FALSE,70788,NA,5/28/2017 23:57,FALSE,NA,8.6898E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13715,FALSE,FALSE,NA,NA
British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,FALSE,70505,NA,5/28/2017 14:43,FALSE,NA,8.6884E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,16764,FALSE,FALSE,NA,NA
Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,FALSE,71125,NA,5/28/2017 12:45,FALSE,NA,8.68811E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14950,FALSE,FALSE,NA,NA
....it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!,FALSE,60142,realDonaldTrump,5/28/2017 12:45,FALSE,8.68808E+17,8.6881E+17,25073877,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13327,FALSE,FALSE,NA,NA
"Whenever you see the words 'sources say' in the fake news media, and they don't mention names....",FALSE,78811,NA,5/28/2017 12:34,FALSE,NA,8.68808E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,19269,FALSE,FALSE,NA,NA
It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,FALSE,72479,NA,5/28/2017 12:33,FALSE,NA,8.68807E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,17646,FALSE,FALSE,NA,NA
Just returned from Europe. Trip was a great success for America. Hard work but big results!,FALSE,82870,NA,5/28/2017 12:10,FALSE,NA,8.68802E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14323,FALSE,FALSE,NA,NA
Big win in Montana for Republicans!,FALSE,64251,NA,5/28/2017 12:02,FALSE,NA,8.688E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9754,FALSE,FALSE,NA,NA
"Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS, JOBS, JOBS!",FALSE,92734,NA,5/27/2017 17:19,FALSE,NA,8.68517E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,24814,FALSE,FALSE,NA,NA
I look forward to reading the @CommerceGov 232 analysis of steel and aluminum- to be released in June. Will take major action if necessary.,FALSE,42870,NA,5/27/2017 16:22,FALSE,NA,8.68503E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7837,FALSE,FALSE,NA,NA
"....""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""",FALSE,41558,realDonaldTrump,5/27/2017 16:17,FALSE,8.68501E+17,8.68501E+17,25073877,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7457,FALSE,FALSE,NA,NA
"Just left the #G7Summit. Had great meetings on everything, especially on trade where....",FALSE,46809,NA,5/27/2017 16:16,FALSE,NA,8.68501E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8054,FALSE,FALSE,NA,NA
I will make my final decision on the Paris Accord next week!,FALSE,54124,NA,5/27/2017 12:17,FALSE,NA,8.68441E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10483,FALSE,FALSE,NA,NA
"Many NATO countries have agreed to step up payments considerably, as they should. Money is beginning to pour in- NATO will be much stronger.",FALSE,76545,NA,5/27/2017 10:03,FALSE,NA,8.68407E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,16604,FALSE,FALSE,NA,NA
"Big G7 meetings today. Lots of very important matters under discussion. First on the list, of course, is terrorism. #G7Taormina",FALSE,51114,NA,5/27/2017 9:58,FALSE,NA,8.68406E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9485,FALSE,FALSE,NA,NA
"On behalf of @FLOTUS Melania and myself, thank you for a wonderful dinner and evening, President Sergio Mattarella.… https://t.co/EhvWgjkRrY",FALSE,62697,NA,5/26/2017 20:39,TRUE,NA,8.68205E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11967,FALSE,FALSE,NA,NA
